t,x,xdot,theta,thetadot,u,theta_ref,x_hat,theta_hat
0.53,0.0814051,0.0981911,-0.0120914,-0.116164,-2.5666,0.00919128,0.10114,-0.0256247
0.54,0.0821309,0.0470149,-0.0127515,-0.0160353,2.64493,0.00919128,0.0764579,0.00524118
0.55,0.0828666,0.100075,-0.0134546,-0.124447,-0.90146,0.0141913,0.105114,-0.0157941
0.56,0.0837776,0.0821555,-0.0145312,-0.0909737,0.575414,0.018469,0.0748359,-0.0091993
0.57,0.0846575,0.0938253,-0.0155704,-0.116885,0.117741,0.018469,0.0690478,-0.0120017
0.58,0.0856084,0.0963464,-0.0167779,-0.124664,-2.10969,0.018469,0.0919514,-0.0273082
0.59,0.0863622,0.0544722,-0.0176205,-0.0440113,-1.10503,0.018469,0.0653186,-0.0243166
0.6,0.0867989,0.032879,-0.0178613,-0.00422918,-0.4989,0.013469,0.0628033,-0.0204149
0.61,0.0870807,0.0234917,-0.0178272,0.0110304,-1.39327,0.00846896,0.102697,-0.0250476
0.62,0.0871796,-0.0036906,-0.0174628,0.0617898,-2.0642,0.00585975,0.0984662,-0.0299048
0.63,0.0869403,-0.0441355,-0.0164586,0.138972,0.311205,0.00585975,0.0850034,-0.0159842
0.64,0.0865345,-0.0370384,-0.0151581,0.12122,-1.39282,0.00585975,0.0902739,-0.0255278
0.65,0.0860292,-0.0640193,-0.0136928,0.171817,0.400597,0.0108597,0.0886959,-0.0161482
0.66,0.0854334,-0.0551506,-0.0120794,0.150983,0.69045,0.0128345,0.0730043,-0.0133963
0.67,0.0849547,-0.0406089,-0.010729,0.119189,0.147877,0.0128345,0.0657399,-0.0154167
0.68,0.0845666,-0.037017,-0.00958538,0.109608,-2.20869,0.0128345,0.076024,-0.0305116
0.69,0.0839789,-0.0804975,-0.00806565,0.194279,1.40691,0.0128345,0.0951856,-0.00935171
0.7,0.0833181,-0.0516966,-0.00642166,0.134682,2.85021,0.00942207,0.0783772,0.00414723
0.71,0.0830884,0.00568609,-0.00565689,0.0184805,0.510128,0.00942207,0.0782565,-0.0066272
0.72,0.0831972,0.0160699,-0.00558172,-0.00341141,2.56371,0.00942207,0.0837946,0.00788644
0.73,0.0836146,0.0673632,-0.00613407,-0.10693,0.589114,0.00942207,0.0885653,-0.00150358
0.74,0.0843466,0.0790303,-0.0073244,-0.131154,0.983936,0.00942207,0.0770745,0.00155788
0.75,0.0852346,0.0985604,-0.00883637,-0.17125,-2.35771,0.0107663,0.0844082,-0.0202013
0.76,0.0859841,0.0513925,-0.0100833,-0.0783423,-0.107565,0.0107663,0.0890837,-0.00939135
0.77,0.086488,0.0493949,-0.0108555,-0.0761238,0.510597,0.0107663,0.0913616,-0.00566208
0.78,0.0870338,0.0597672,-0.0117299,-0.0987645,0.0593566,0.0107663,0.0796816,-0.00810282
0.79,0.0876382,0.0611195,-0.012741,-0.103505,-2.7236,0.0107663,0.0800444,-0.0268199
0.8,0.0879785,0.00699173,-0.0132458,0.00235761,-0.811287,0.012349,0.0917968,-0.0188674
0.81,0.0879699,-0.00870069,-0.0130784,0.0310955,0.613385,0.012349,0.0866408,-0.0104482
0.82,0.0879469,0.00409581,-0.0129086,0.00290199,1.27832,0.012349,0.0869063,-0.00486339
0.83,0.0881179,0.0300837,-0.0131521,-0.0515274,3.0418,0.012349,0.0804234,0.0089021
0.84,0.0887242,0.0911247,-0.0142897,-0.175861,1.9185,0.012349,0.0922098,0.00581176
0.85,0.0898274,0.129494,-0.0164432,-0.25482,-2.07459,0.0127488,0.0952768,-0.0186966
0.86,0.0909152,0.0881067,-0.0185899,-0.174737,-5.08841,0.0127488,0.105223,-0.0427381
0.87,0.0912897,-0.0131007,-0.0193411,0.0241591,-2.88509,0.0127488,0.0979775,-0.0360247
0.88,0.0908749,-0.0698262,-0.0185518,0.133576,0.728175,0.0127488,0.0941542,-0.0157614
0.89,0.0902547,-0.0542311,-0.0173921,0.0984605,1.30219,0.0127488,0.0864266,-0.0099817
0.9,0.0898471,-0.0273116,-0.0166952,0.0410493,1.286,0.0111339,0.0912342,-0.00696503
0.91,0.0897063,-0.000878963,-0.0165659,-0.0151052,-0.76687,0.0111339,0.0687477,-0.0182563
0.92,0.0896242,-0.0155328,-0.0165864,0.0109528,1.83917,0.0111339,0.0840774,-0.00179543
0.93,0.089656,0.0218667,-0.0168672,-0.0670011,-0.980563,0.0111339,0.107965,-0.0175442
0.94,0.0897795,0.00284469,-0.0173625,-0.0321458,-0.40407,0.0111339,0.0931441,-0.0151677
0.95,0.0897708,-0.0045652,-0.0176264,-0.0206647,-0.891618,0.00937284,0.0858868,-0.0182807
0.96,0.0896396,-0.0216539,-0.0176792,0.0100614,0.0790564,0.00937284,0.106882,-0.0128012
0.97,0.0894349,-0.0192954,-0.0176196,0.00186619,-1.76249,0.00937284,0.0861493,-0.0245216
0.98,0.0890699,-0.0536846,-0.0172745,0.0670805,0.433726,0.00937284,0.0764517,-0.0121136
0.99,0.088581,-0.0441105,-0.0167173,0.0444089,-1.18628,0.00937284,0.0937516,-0.0216452
1,0.0880257,-0.0669211,-0.0160622,0.0865708,-1.20974,0.0117463,0.0952772,-0.0238653
1.01,0.0872405,-0.0901129,-0.0149817,0.129514,-0.47345,0.0117463,0.0978481,-0.0202985
1.02,0.0862972,-0.0985462,-0.0136189,0.143087,-0.0644274,0.0117463,0.0821682,-0.0176736
1.03,0.0853103,-0.0988333,-0.0122007,0.140624,1.42134,0.0117463,0.102749,-0.00725304
