t,x,xdot,theta,thetadot,u,theta_ref,x_hat,theta_hat
5.1,0.00625917,-0.0594815,0.00261327,0.172887,2.70844,-0.00239932,-0.00995849,0.0118627
5.11,0.00593591,-0.00522802,0.00379963,0.0646027,0.20632,-0.00310235,-0.00469583,0.000383493
5.12,0.00590377,-0.00120641,0.00440818,0.0571478,1.23752,-0.00310235,0.00475417,0.00801875
5.13,0.00601457,0.0233422,0.00473767,0.0088376,-0.4205,-0.00310235,0.00772997,-0.00083094
5.14,0.00620465,0.0146804,0.00491715,0.02704,1.64401,-0.00310235,0.0067716,0.0124351
5.15,0.00651439,0.047239,0.00486643,-0.0370889,-1.75419,-0.00267247,-0.00966302,-0.0077465
5.16,0.00680967,0.0118485,0.00485471,0.0346365,3.61057,-0.00267247,0.00479155,0.025278
5.17,0.00728749,0.083654,0.00448739,-0.107903,0.714459,-0.00267247,0.00801742,0.0114824
5.18,0.00819249,0.0973418,0.00327754,-0.134081,-1.40271,-0.00267247,-0.00822597,-0.00202329
5.19,0.00902291,0.0687745,0.0022276,-0.0760417,-1.01595,-0.00267247,0.0140195,-0.00204029
5.2,0.00960721,0.0481073,0.00167716,-0.0341349,2.38849,0.00232753,0.0168422,0.0172553
5.21,0.0103253,0.095479,0.000864343,-0.128323,3.21899,0.00467995,0.0167311,0.0251397
5.22,0.011599,0.159212,-0.0010533,-0.255102,-1.80268,0.00467995,0.00514274,-0.00449808
5.23,0.0130075,0.122525,-0.00323467,-0.181383,-3.03555,0.00467995,0.0108039,-0.0167434
5.24,0.0139273,0.0615151,-0.00443892,-0.0597047,-1.57974,0.00467995,0.0206653,-0.0124432
5.25,0.0143843,0.0298991,-0.00472331,0.00271999,-1.51872,0.00879763,0.0341558,-0.0160569
5.26,0.014532,-0.000330111,-0.00439854,0.0621582,0.661128,0.00879763,0.00919067,-0.00409297
5.27,0.0145957,0.0130634,-0.00391612,0.0343889,-0.700107,0.00879763,0.0188937,-0.0122214
5.28,0.0146571,-0.00078411,-0.00343814,0.0611878,0.510032,0.00879763,0.0075496,-0.00532921
5.29,0.014701,0.0095591,-0.00293398,0.0397005,5.86293,0.00879763,0.00730723,0.0311048
5.3,0.0153824,0.126612,-0.00371075,-0.194739,-1.12243,0.00379763,0.0152961,-0.00520245
5.31,0.0165341,0.10376,-0.00543034,-0.149326,-2.03327,0.00287136,0.0241849,-0.0133042
5.32,0.0173673,0.0629212,-0.00651833,-0.0684448,2.61116,0.00287136,0.038935,0.0142995
5.33,0.0182569,0.114977,-0.00772856,-0.1735,-1.83263,0.00287136,0.0206203,-0.0114311
5.34,0.0192225,0.0781727,-0.00910053,-0.101066,-1.96351,0.00287136,0.0236331,-0.015425
5.35,0.0198081,0.0389962,-0.00972688,-0.02435,1.58333,0.00706364,0.0318557,0.00385464
5.36,0.0203572,0.0707914,-0.0102974,-0.0896852,-1.60766,0.00706364,0.0129435,-0.0151132
5.37,0.020905,0.0387959,-0.0108831,-0.0275743,-0.142648,0.00706364,0.044327,-0.00802468
5.38,0.02128,0.0362062,-0.0111432,-0.0244615,-0.255791,0.00706364,0.0224064,-0.00898918
5.39,0.0216179,0.0313818,-0.0113501,-0.0169448,2.17941,0.00706364,0.0197805,0.006891
5.4,0.0221508,0.0751642,-0.0119681,-0.106554,-0.674663,0.00554773,0.0285949,-0.00833822
5.41,0.0228356,0.0618187,-0.0129103,-0.0819702,0.965135,0.00554773,0.0287833,0.00140457
5.42,0.0235512,0.081285,-0.013936,-0.123157,-0.583379,0.00554773,0.0200911,-0.00754659
5.43,0.0243065,0.0698043,-0.0150646,-0.10264,-0.363809,0.00554773,0.0411793,-0.00715709
5.44,0.0249695,0.0628039,-0.0160342,-0.0913442,-1.6957,0.00554773,0.0245968,-0.016666
5.45,0.0254299,0.029309,-0.0166271,-0.0273629,-2.17585,0.00332526,0.0219408,-0.0216591
5.46,0.0255084,-0.0135731,-0.0164879,0.0550812,1.85541,0.00332526,0.036514,0.00241787
5.47,0.0255615,0.0241615,-0.0163313,-0.0236371,-1.87282,0.00332526,0.000514493,-0.018952
5.48,0.0256188,-0.0126656,-0.0162152,0.0467649,-0.663899,0.00332526,0.0459276,-0.013318
5.49,0.0254295,-0.0252006,-0.0156388,0.0685006,2.13476,0.00332526,0.0454886,0.00497466
5.5,0.0253943,0.0181267,-0.0154033,-0.0212551,0.502825,0.00542597,0.0305254,-0.00278344
5.51,0.0256284,0.0286742,-0.0157361,-0.0452763,-0.532442,0.00542597,0.0225207,-0.00886144
5.52,0.0258643,0.0185303,-0.0161021,-0.0279831,-3.43301,0.00542597,0.0170212,-0.029
5.53,0.0257097,-0.0494058,-0.0157182,0.104595,1.15406,0.00542597,0.0207759,-0.00342918
5.54,0.0253351,-0.025522,-0.014928,0.0535554,-0.882721,0.00542597,0.0363982,-0.014665
5.55,0.0249954,-0.0424174,-0.0142389,0.0842332,0.418581,0.00288882,0.0224945,-0.00607897
5.56,0.0246169,-0.0332997,-0.013503,0.0630215,0.435212,0.00288882,0.0213442,-0.00468345
5.57,0.0243308,-0.0239261,-0.0129806,0.0414977,-2.08715,0.00288882,0.0136914,-0.0203327
5.58,0.0238864,-0.0649355,-0.012169,0.120742,-1.42796,0.00288882,0.0342932,-0.018638
5.59,0.0230985,-0.0926236,-0.0106986,0.17334,-0.225131,0.00288882,0.0236822,-0.0120424
5.6,0.0221542,-0.0962384,-0.00894212,0.178017,0.793541,0.00412216,0.0275191,-0.00514563
5.61,0.0212752,-0.0795845,-0.00733992,0.142548,-1.32989,0.00412216,0.037977,-0.0174247
5.62,0.0203501,-0.105436,-0.00566534,0.192369,1.9793,0.00412216,0.0246046,0.0031593
5.63,0.0194971,-0.0652117,-0.00415229,0.110432,-4.0912,0.00412216,0.0208802,-0.0337213
5.64,0.018439,-0.146345,-0.00224254,0.271364,1.85671,0.00412216,0.0161958,0.000128685
5.65,0.017165,-0.108496,8.63463e-05,0.194634,1.00092,0.0019751,0.0203241,-0.0012072
5.66,0.0161827,-0.0879989,0.00182487,0.153213,-0.568008,0.0019751,0.0288713,-0.00952778
5.67,0.0152478,-0.0989707,0.00346616,0.175086,0.473436,0.0019751,0.00911531,-0.00300787
5.68,0.0143072,-0.0891763,0.00511982,0.155751,2.59056,0.0019751,0.0148753,0.0122731
5.69,0.0136753,-0.037263,0.00616095,0.0526769,-0.268221,0.0019751,-0.00585766,-0.00261175
5.7,0.0132756,-0.0426782,0.00674708,0.0645606,-1.50617,0.000329097,0.0141157,-0.0108414
5.71,0.0126982,-0.0727829,0.0076993,0.125834,2.68367,0.000329097,0.00484972,0.0149119
5.72,0.0122385,-0.0191945,0.00842749,0.0199984,0.613422,0.000329097,0.0122828,0.00538049
5.73,0.0121066,-0.00720011,0.00851551,-0.00235676,0.130626,0.000329097,0.00595862,0.00289061
5.74,0.0120461,-0.00489934,0.00847731,-0.00527875,2.45376,0.000329097,0.0138787,0.0183107
5.75,0.0122405,0.043734,0.00794668,-0.100727,-1.62644,0.00068162,0.0147611,-0.00562644
5.76,0.0125128,0.0107531,0.00727846,-0.0330479,2.51128,0.00068162,0.0185374,0.0188935
5.77,0.0128693,0.0605043,0.00645821,-0.130893,-2.56771,0.00068162,0.0269623,-0.0115608
5.78,0.0132151,0.00872226,0.00567531,-0.025879,0.580266,0.00068162,0.00234153,0.00492845
5.79,0.0133589,0.0200278,0.00530944,-0.0472791,-1.25682,0.00068162,0.00989739,-0.00665265
5.8,0.0134322,-0.00535509,0.00509634,0.00457344,-1.21114,-0.000849385,0.00852332,-0.00796729
5.81,0.0132568,-0.0296905,0.0053903,0.0541581,4.4576,-0.000849385,0.00798438,0.0281125
5.82,0.0134046,0.0591666,0.00504795,-0.122379,1.44342,-0.000849385,0.0102874,0.0148945
5.83,0.0141378,0.0874643,0.00354804,-0.177587,-2.61592,-0.000849385,0.0316344,-0.0105207
5.84,0.0147484,0.034702,0.00230587,-0.0710631,1.17009,-0.000849385,0.0188138,0.0101696
5.85,0.0152109,0.0577784,0.00136786,-0.116513,-1.99191,0.00113741,0.0149102,-0.0100081
5.86,0.015588,0.0176989,0.000606556,-0.0359021,2.16778,0.00113741,0.0238857,0.0142824
5.87,0.0159808,0.0608299,-0.000182553,-0.121827,-1.36463,0.00113741,0.00630042,-0.00616307
5.88,0.0164514,0.0333092,-0.00112399,-0.0665862,-1.83283,0.00113741,0.020834,-0.0117585
5.89,0.0166009,-0.00337616,-0.00142315,0.00662976,-0.634503,0.00113741,0.00846105,-0.00666249
5.9,0.0165041,-0.015961,-0.00123252,0.0314671,1.177,0.0025116,0.0198424,0.00416004
5.91,0.0164627,0.00764634,-0.00115557,-0.0160014,0.847068,0.0025116,0.0154929,0.00383474
5.92,0.0166237,0.0245503,-0.00148548,-0.0499448,1.73096,0.0025116,0.0220926,0.0109046
5.93,0.0170417,0.0590144,-0.0023302,-0.118934,2.00116,0.0025116,0.0167029,0.0150618
5.94,0.0178305,0.0987283,-0.00391707,-0.198394,-2.75545,0.0025116,0.0114294,-0.0141545
5.95,0.018541,0.0434184,-0.00534883,-0.0881898,-1.06307,-0.000337823,0.00948669,-0.00675174
5.96,0.0188689,0.0222021,-0.0060225,-0.0466385,-1.05112,-0.000337823,0.0229552,-0.00824673
5.97,0.0189866,0.00135661,-0.00628566,-0.00606721,-0.313584,-0.000337823,0.025925,-0.0047118
5.98,0.0189701,-0.00466194,-0.00629222,0.00473761,0.0416204,-0.000337823,0.00842423,-0.00247955
5.99,0.018929,-0.003565,-0.00626205,0.00130324,-0.879834,-0.000337823,0.0187852,-0.00821705
6,0.0188068,-0.0208567,-0.00608228,0.0346065,-0.993345,0.00421917,0.0257714,-0.0114974
6.01,0.0185008,-0.0403336,-0.00554797,0.072223,2.2963,0.00421917,0.0254833,0.00903479
6.02,0.0183287,0.00588821,-0.0052944,-0.0213571,0.430553,0.00421917,0.028256,0.000226706
6.03,0.0184315,0.0146491,-0.00560042,-0.0398341,0.235172,0.00421917,0.0253126,-0.000613039
6.04,0.0186021,0.01948,-0.00605194,-0.0504746,-2.80032,0.00421917,0.0245998,-0.0207277
6.05,0.018518,-0.0362486,-0.00600467,0.0597642,-0.29655,0.00151753,0.0166665,-0.00752403
6.06,0.018128,-0.0417544,-0.00535877,0.0694297,-0.9919,0.00151753,0.0398915,-0.0121513
6.07,0.0176135,-0.0611295,-0.00447707,0.106895,-0.152363,0.00151753,0.0196709,-0.00757709
6.08,0.0169894,-0.0636952,-0.00338848,0.110866,-0.894653,0.00151753,0.008453,-0.012191
6.09,0.0162654,-0.0810985,-0.00211083,0.144671,1.38243,0.00151753,-0.0134898,0.0021874
6.1,0.0155949,-0.0530406,-0.000948914,0.0878501,0.126177,-0.00175544,0.00429966,-0.00243623
6.11,0.0150786,-0.0502296,-0.000100785,0.0818233,2.14026,-0.00175544,0.0277052,0.0117371
6.12,0.0147912,-0.00728834,0.000286771,-0.00416547,-0.0623906,-0.00175544,0.0221424,0.000699836
6.13,0.0147122,-0.0085172,0.000257746,-0.00164443,0.0975333,-0.00175544,0.00696728,0.00174464
6.14,0.0146368,-0.00654849,0.000221896,-0.0055214,-0.264666,-0.00175544,0.0114048,-0.00045208
6.15,0.014545,-0.0118135,0.000219624,0.00505105,-3.55447,0.000284282,0.0105827,-0.0234069
6.16,0.0140722,-0.0826784,0.000978789,0.146604,-2.99354,0.000284282,0.0137841,-0.024997
6.17,0.0129485,-0.142027,0.00303693,0.264941,0.267419,0.000284282,0.00884535,-0.00716372
6.18,0.011558,-0.136107,0.00562609,0.253027,3.61985,0.000284282,0.0132048,0.0165445
6.19,0.0105606,-0.063444,0.00743153,0.108362,2.26592,0.000284282,0.00972158,0.0136925
6.2,0.0101525,-0.0182246,0.00806868,0.019232,-1.44644,-0.00471572,-0.0124723,-0.00590748
6.21,0.00982468,-0.0473103,0.0085594,0.078846,-0.219452,-0.00573474,0.0123539,0.000578155
6.22,0.00932917,-0.0517925,0.00939985,0.0892681,0.345176,-0.00573474,0.0206232,0.00442763
6.23,0.00884516,-0.0450211,0.0102327,0.0773545,3.03768,-0.00573474,0.0102691,0.0232899
6.24,0.0086973,0.0153933,0.0104111,-0.0414889,-1.24214,-0.00573474,0.00214099,-0.000442357
6.25,0.00872478,-0.00987364,0.0102596,0.0111134,-0.216332,-0.000734739,0.0228916,0.00265572
6.26,0.00860267,-0.0145443,0.0104273,0.0224197,-0.664429,0.00426526,0.000726586,-0.00269244
6.27,0.00838922,-0.0281355,0.0107973,0.0515436,4.43321,0.00444357,-0.00192737,0.0295811
6.28,0.008549,0.0600135,0.0104412,-0.122507,1.22117,0.00444357,-0.00040121,0.0142385
6.29,0.00926744,0.0836631,0.00899179,-0.167375,-2.798,0.00444357,0.0132284,-0.011918
6.3,0.00982085,0.027078,0.00789512,-0.0521808,-0.911967,-0.000556429,-0.00437402,-0.00306504
6.31,0.00999836,0.00844301,0.00756815,-0.013286,0.0733471,-0.00318634,0.0174019,0.00275615
6.32,0.0100884,0.00957014,0.00743163,-0.0140214,3.36733,-0.00318634,0.0139251,0.0249269
6.33,0.0105186,0.0764064,0.00663069,-0.146005,-2.57842,-0.00318634,0.010431,-0.00964412
6.34,0.011022,0.0243329,0.00569999,-0.0403361,1.72382,-0.00318634,0.00477143,0.0147332
6.35,0.0114357,0.0583796,0.00496242,-0.107109,1.20853,0.00179534,0.0125892,0.0121851
6.36,0.0121377,0.0820059,0.00366161,-0.153044,-3.55388,0.00179534,0.00529399,-0.0184321
6.37,0.0126002,0.0105628,0.00285137,-0.00925451,-0.941998,0.00179534,0.0169288,-0.00706848
6.38,0.012611,-0.0083868,0.00295122,0.0291712,1.52991,0.00179534,0.00605179,0.00790349
6.39,0.0126795,0.0220657,0.00294091,-0.0311426,-0.845293,0.00179534,0.0108532,-0.00560905
6.4,0.0128147,0.00498458,0.00280362,0.00362583,2.84658,0.0032012,0.0181964,0.0170801
6.41,0.0131481,0.0616418,0.0022761,-0.108984,0.872771,0.0032012,0.00869575,0.00799367
6.42,0.0138496,0.0786612,0.00101999,-0.142245,-0.049047,0.0032012,0.0209942,0.00254383
6.43,0.0146291,0.0772558,-0.000385246,-0.138871,1.46426,0.0032012,0.00654781,0.0118852
6.44,0.015546,0.106101,-0.00206061,-0.196192,0.59967,0.0032012,0.0218553,0.00769892
6.45,0.0166646,0.117619,-0.00413672,-0.219091,2.21541,0.00287774,0.0178469,0.0186998
6.46,0.0180597,0.16139,-0.00676598,-0.306748,-1.9083,0.00287774,0.0232555,-0.00626598
6.47,0.0194803,0.122785,-0.00944943,-0.230182,-2.57041,0.00287774,0.0181841,-0.0145442
6.48,0.0204503,0.0712708,-0.011242,-0.128564,0.570196,0.00287774,0.0196866,0.0019774
6.49,0.0212204,0.0827324,-0.0126513,-0.15332,-2.01649,0.00287774,0.027602,-0.0145395
6.5,0.0218468,0.0425938,-0.0137932,-0.0752462,-0.629632,0.00140614,0.0130116,-0.00798861
6.51,0.0222115,0.0303642,-0.0144358,-0.0533298,-1.26694,0.00140614,0.0386162,-0.0129051
6.52,0.0223907,0.00550764,-0.0147339,-0.00638176,0.895655,0.00140614,0.0142465,-2.55821e-05
6.53,0.022538,0.0239228,-0.0149962,-0.0460213,-3.20359,0.00140614,0.0141293,-0.0255169
6.54,0.0224597,-0.0395119,-0.0148362,0.077833,-2.20386,0.00140614,0.0372464,-0.0232922
6.55,0.0218485,-0.0826955,-0.0136419,0.16096,0.249676,0.00347408,0.020832,-0.0100903
6.56,0.0210513,-0.0767703,-0.0121073,0.146042,-0.0447547,0.00347408,0.0240976,-0.0107632
6.57,0.0202834,-0.0768093,-0.0106606,0.143372,0.694134,0.00347408,0.029998,-0.00512681
6.58,0.0195887,-0.0621667,-0.00938588,0.111674,2.10777,0.00347408,0.0189571,0.00602361
6.59,0.0191808,-0.0194494,-0.0087071,0.0242416,2.14194,0.00347408,0.033718,0.00988004
6.6,0.0192023,0.0237077,-0.00890505,-0.0637101,-2.74224,0.00240653,0.017698,-0.0190492
6.61,0.0191667,-0.0307737,-0.00900522,0.0435112,-0.907873,0.00240653,0.0138038,-0.0110648
6.62,0.0187708,-0.048387,-0.00840349,0.0768103,0.827505,0.00240653,0.00599996,-0.000551079
6.63,0.0183724,-0.0313194,-0.00781542,0.0408824,-0.3434,0.00240653,0.0111927,-0.00672438
6.64,0.0180272,-0.0377184,-0.0073509,0.0520261,-1.29431,0.00240653,0.0171156,-0.0133471
6.65,0.0175232,-0.0630732,-0.00658513,0.101087,0.265772,0.000809456,0.0121069,-0.00407485
6.66,0.0169218,-0.0572107,-0.00564086,0.0878293,-1.24698,0.000809456,0.0012207,-0.0132065
6.67,0.0162277,-0.0815922,-0.00452566,0.135189,1.47217,0.000809456,0.0293603,0.0035276
6.68,0.0155617,-0.051653,-0.00347959,0.0741632,0.40272,0.000809456,0.0438939,-0.000812469
6.69,0.0150873,-0.0432392,-0.00282662,0.0564874,-2.21627,0.000809456,0.0125383,-0.0173771
6.7,0.0144352,-0.0871383,-0.00182647,0.143458,-0.0727583,-0.00109134,0.00472812,-0.00553765
6.71,0.0135591,-0.0880968,-0.000386279,0.144643,2.18583,-0.00109134,0.0217578,0.0100945
6.72,0.0128986,-0.0440517,0.000617206,0.056232,-1.21487,-0.00109134,0.021573,-0.00871982
6.73,0.0123377,-0.0681058,0.00141977,0.104245,0.195177,-0.00109134,-0.00414811,-0.00092908
6.74,0.0116775,-0.0639422,0.0024204,0.0959385,4.16173,-0.00109134,0.0228139,0.0261728
6.75,0.0114546,0.0192877,0.00254855,-0.0700524,0.468478,0.000169471,0.00847857,0.00759233
6.76,0.0116932,0.0284205,0.00176028,-0.0876113,1.899,0.000169471,0.000860689,0.0173078
6.77,0.0121658,0.0660752,0.000510748,-0.16224,2.19508,0.000169471,0.00741472,0.0215598
6.78,0.0130438,0.109496,-0.00154281,-0.248436,-3.13393,0.000169471,0.0102279,-0.0115034
6.79,0.0138233,0.0464746,-0.00339479,-0.122236,-4.35375,0.000169471,0.0165235,-0.0253405
6.8,0.0138528,-0.0404914,-0.00374912,0.0510932,0.283672,-0.000332411,0.00617252,-0.00113527
6.81,0.0134779,-0.0344983,-0.00330256,0.0382587,-3.04884,-0.000332411,-0.00462609,-0.0225586
6.82,0.01283,-0.0950315,-0.00231857,0.158403,0.20056,-0.000332411,0.0136794,-0.00512765
6.83,0.0119025,-0.0904793,-0.00078474,0.148448,0.970226,-0.000332411,0.00686264,0.00105581
6.84,0.011097,-0.0706566,0.000498521,0.108323,-1.3124,-0.000332411,0.0172264,-0.012086
6.85,0.010261,-0.0965186,0.00183916,0.159789,0.88303,0.00466759,0.0297604,-0.000653104
6.86,0.009386,-0.0785078,0.00325634,0.123766,0.797069,0.00611595,0.00943095,-0.000192731
6.87,0.00868178,-0.0623576,0.00433383,0.0918303,1.31822,0.00611595,0.00346018,0.00439472
6.88,0.00819046,-0.0359344,0.0049908,0.0396723,-3.05741,0.00611595,-0.00514662,-0.0230146
6.89,0.00752577,-0.0969551,0.00600189,0.162408,0.107868,0.00611595,0.0210879,-0.00682937
6.9,0.00656822,-0.0945668,0.0076055,0.158393,0.204688,0.00111595,0.00710723,-0.00419826
6.91,0.00564385,-0.0903212,0.00915201,0.150993,1.24276,-0.000448199,0.0246583,0.00404093
6.92,0.00486515,-0.0654498,0.01042,0.102726,2.48216,-0.000448199,-0.00903418,0.0146661
6.93,0.00445799,-0.0160294,0.0109618,0.00580844,1.58642,-0.000448199,0.0113912,0.0126307
6.94,0.00445425,0.0152548,0.0107177,-0.0545347,-0.641238,-0.000448199,0.0126647,-4.8632e-05
6.95,0.00454023,0.0019563,0.0103167,-0.0257393,3.46824,-0.00290795,-0.00284117,0.0267981
6.96,0.00490387,0.070716,0.00938233,-0.160966,-1.09879,-0.00290795,-0.00541375,0.00140394
6.97,0.00549764,0.0480664,0.00801075,-0.113482,-2.16352,-0.00290795,0.0150618,-0.00796892
6.98,0.00575948,0.00434561,0.00732262,-0.0243086,2.17967,-0.00290795,0.0202477,0.0173864
6.99,0.00601893,0.0475101,0.00665552,-0.109014,-0.423614,-0.00290795,-0.0152625,0.00326617
7,0.00644917,0.0385543,0.0056631,-0.0895438,1.75494,0.00187078,0.0134392,0.0152158
7.01,0.00700777,0.0731412,0.00442878,-0.157276,0.965504,0.00187078,0.00920493,0.0119542
7.02,0.00783278,0.0918558,0.00267564,-0.193376,-0.27874,0.00187078,0.0175682,0.00426873
7.03,0.00872059,0.0857248,0.00080874,-0.180108,-0.952636,0.00187078,0.0106563,-0.00152551
7.04,0.00948035,0.0662546,-0.000794145,-0.140601,-0.661438,0.00187078,0.0191633,-0.00173952
7.05,0.0100753,0.0527541,-0.00206381,-0.113431,1.06672,0.00202251,0.0143374,0.00824654
7.06,0.0107083,0.073845,-0.00340928,-0.155661,1.11662,0.00202251,0.00348535,0.00980869
7.07,0.011557,0.0958776,-0.00518714,-0.199926,1.4287,0.00202251,0.0328078,0.013056
7.08,0.0126569,0.124094,-0.00747054,-0.256773,1.19998,0.00202251,0.0153829,0.0130307
7.09,0.0140159,0.147693,-0.0102776,-0.304699,-0.429131,0.00202251,0.0288724,0.00316401
7.1,0.0154481,0.138786,-0.013241,-0.288135,-2.58986,0.00399791,0.0221132,-0.0134292
7.11,0.0165764,0.0869394,-0.0156126,-0.18645,-1.53048,0.00399791,0.00595733,-0.011074
7.12,0.0172938,0.0565775,-0.017186,-0.128396,-2.40525,0.00399791,0.00328611,-0.0195206
7.13,0.0176214,0.00898112,-0.018009,-0.036388,-3.72813,0.00399791,0.024952,-0.0319601
7.14,0.0173423,-0.0647314,-0.0176531,0.107368,-0.968057,0.00399791,0.0233624,-0.0187374
7.15,0.0166034,-0.0830383,-0.0164154,0.14019,-1.06207,0.00102083,0.0120657,-0.0188854
7.16,0.0156723,-0.103179,-0.0148303,0.176834,-2.80752,0.00102083,0.02711,-0.0308969
7.17,0.0143657,-0.158101,-0.0125302,0.283145,-0.262417,0.00102083,0.0145465,-0.0168489
7.18,0.0127649,-0.162071,-0.00967559,0.287889,0.384415,0.00102083,0.0338715,-0.0113612
7.19,0.0111886,-0.153231,-0.00689893,0.267597,0.0253125,0.00102083,0.0118586,-0.011752
7.2,0.00966396,-0.151708,-0.00424901,0.262514,1.47547,0.000707701,0.0107754,-0.000731286
7.21,0.00829879,-0.121369,-0.00193537,0.200413,1.39277,0.000707701,-0.0160862,0.00199882
7.22,0.00722752,-0.092922,-0.000220605,0.142705,-0.910609,0.000707701,0.00943833,-0.0105627
7.23,0.00620971,-0.110634,0.00138114,0.177665,1.48509,0.000707701,-0.0171654,0.00448
7.24,0.00525408,-0.0805299,0.00285546,0.117355,1.15277,0.000707701,0.0116812,0.00498832
7.25,0.00456525,-0.0572637,0.0037974,0.0711464,-1.60253,-3.07912e-05,0.00777493,-0.0112054
7.26,0.00383325,-0.0891145,0.00482995,0.135314,-0.352666,-3.07912e-05,0.00536104,-0.00518565
7.27,0.00290813,-0.0959125,0.00625372,0.149485,1.4151,-3.07912e-05,0.00055127,0.00639536
7.28,0.00209139,-0.0674682,0.00746803,0.0935177,0.731333,-3.07912e-05,0.0182623,0.00427441
7.29,0.00148987,-0.0528536,0.00826298,0.0655518,-0.102431,-3.07912e-05,0.00243665,-0.000130348
7.3,0.000950744,-0.0549747,0.0089468,0.0712352,2.57295,0.00207178,0.0151544,0.016795
7.31,0.000657392,-0.00374318,0.00915463,-0.0295074,3.40348,0.00207178,-0.00158112,0.0259532
7.32,0.000957905,0.0637913,0.00819378,-0.162506,-0.307064,0.00207178,0.000718408,0.00566563
7.33,0.00156182,0.0570081,0.00664703,-0.146936,0.995205,0.00207178,0.00463207,0.0128053
7.34,0.00222838,0.0762981,0.00499356,-0.183778,0.743111,0.00207178,-0.0166847,0.0116833
7.35,0.00306251,0.0905281,0.0030212,-0.210743,-0.602556,-0.00292822,-0.0104867,0.00450184
7.36,0.00390463,0.0779204,0.00104599,-0.184428,-0.86369,-0.00485856,0.0099575,0.00189053
7.37,0.00459532,0.0602442,-0.000617735,-0.148446,-1.15792,-0.00485856,0.00943467,-0.00166051
7.38,0.00508066,0.0368528,-0.00186667,-0.101468,-3.34047,-0.00485856,0.00385721,-0.0180597
7.39,0.00511506,-0.0299108,-0.00221412,0.0317613,-1.58373,-0.00485856,0.00549834,-0.0112249
7.4,0.00465897,-0.0612815,-0.00158551,0.0938956,-0.699531,-0.00101274,0.00155399,-0.0083445
7.41,0.00397813,-0.0748812,-0.000513564,0.120502,0.525284,-0.00101274,-0.00244574,-0.00069389
7.42,0.0032837,-0.0640217,0.000580544,0.0984024,1.35815,-0.00101274,0.00906971,0.00621549
7.43,0.00278052,-0.0366451,0.00128992,0.0435883,1.51074,-0.00101274,0.00983981,0.00967275
7.44,0.00256548,-0.00638997,0.00142391,-0.016694,1.87118,-0.00101274,-0.00201692,0.0144707
7.45,0.00268818,0.0308984,0.000885807,-0.0908401,-0.883188,0.00157865,0.0105416,-0.00209272
7.46,0.00290794,0.0130755,0.000157853,-0.0548378,0.538602,0.00157865,0.013483,0.00548036
7.47,0.00309201,0.0237331,-0.000496091,-0.0759492,-2.70262,0.00157865,-0.00376076,-0.0157152
7.48,0.00305895,-0.0302944,-0.000714739,0.0320477,0.523071,0.00157865,-0.000133039,0.00135428
7.49,0.00280906,-0.0196947,-0.000501428,0.0106563,0.628692,0.00157865,-0.00687753,0.00289492
7.5,0.0026754,-0.00704962,-0.000521945,-0.0147227,0.796023,0.0046108,0.02224,0.00389978
7.51,0.00268456,0.0088707,-0.000828632,-0.0465809,2.59628,0.0046108,-0.00301516,0.0167248
7.52,0.0030323,0.0606353,-0.00181209,-0.150001,-1.69423,0.0046108,0.0126553,-0.0084797
7.53,0.00346823,0.0265896,-0.0029712,-0.0819753,0.095706,0.0046108,0.0174643,0.000118131
7.54,0.00374349,0.0284663,-0.00381138,-0.0860928,-1.30893,0.0046108,0.00314088,-0.00955889
7.55,0.00389741,0.0023461,-0.00441357,-0.0344522,-1.65982,0.00361015,0.0199793,-0.0139235
7.56,0.0037559,-0.0306193,-0.0044323,0.030607,0.0952342,0.00361015,0.00766013,-0.00476573
7.57,0.00346078,-0.0284085,-0.00415314,0.0252454,3.43061,0.00361015,0.00445108,0.0178101
7.58,0.00352061,0.0403147,-0.00459224,-0.112877,0.0915258,0.00361015,-0.00670761,0.000793119
7.59,0.00393266,0.0421005,-0.00574164,-0.117051,-1.45509,0.00361015,7.07529e-05,-0.00980351
7.6,0.00420835,0.0130699,-0.00662574,-0.0598962,-0.888574,-0.00138985,-0.00294754,-0.00690546
7.61,0.00425121,-0.00447979,-0.00705482,-0.0259905,0.319188,-0.00277237,-0.00842644,0.000554225
7.62,0.00423966,0.00216725,-0.00738769,-0.0405783,-0.843787,-0.00277237,0.0159797,-0.00624317
7.63,0.00417839,-0.0144058,-0.0076344,-0.00882244,-2.61467,-0.00277237,0.00743811,-0.0189224
7.64,0.00377508,-0.0662123,-0.00721201,0.0931653,1.29084,-0.00277237,0.00471116,0.00371445
7.65,0.00324481,-0.0398689,-0.00655222,0.038904,2.66165,-0.00314892,-0.00590811,0.0157426
7.66,0.00311401,0.0136608,-0.00670537,-0.06938,0.205998,-0.00314892,0.0130314,0.00388704
7.67,0.00327202,0.0179415,-0.00744748,-0.0790614,-2.67869,-0.00314892,-0.000634254,-0.0149684
7.68,0.00318491,-0.0353145,-0.00771173,0.026039,-0.157689,-0.00314892,0.0166692,-0.00210138
7.69,0.00281831,-0.0380047,-0.0074324,0.0298348,-0.227112,-0.00314892,0.000511253,-0.00233125
7.7,0.00241789,-0.042078,-0.00710106,0.0364374,0.361772,0.00185108,0.0129973,3.21854e-05
7.71,0.00203555,-0.0343975,-0.00682098,0.0196151,0.457302,0.00231887,0.00986106,0.00110781
